"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"Totaal";"Gelderland (PV)";"Totaal WOZ-objecten";"aantal";"824847";"842444";"864279";"877019";"889103";"899795";"909779";"917100";"922927";"930603";"937619";"946298";"957396";"965122";"972974"
"Totaal";"Gelderland (PV)";"WOZ-objecten woningen";"aantal";"697390";"712466";"724576";"738892";"749959";"755454";"761944";"768158";"778442";"785864";"794344";"801938";"810363";"815998";"822529"
"Totaal";"Gelderland (PV)";"Recreatiewoningen en overige woningen";"aantal";"31047";"30661";"34932";"32813";"32090";"34079";"34929";"36194";"37383";"40307";"40414";"42108";"42880";"43320";"43906"
"Totaal";"Gelderland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"29743";"27446";"27308";"27050";"23413";"22735";"22316";"21948";"19596";"19026";"17025";"15102";"15229";"15198";"14678"
"Totaal";"Gelderland (PV)";"Niet-woningen; niet bewoond";"aantal";"66667";"71871";"77463";"78264";"83641";"87527";"90590";"90800";"87506";"85406";"85836";"87150";"88924";"90606";"91861"
"Totaal";"Utrecht (PV)";"Totaal WOZ-objecten";"aantal";"488589";"494038";"504866";"518910";"528009";"537391";"540752";"545821";"549616";"555813";"564006";"571471";"577206";"585178";"590839"
"Totaal";"Utrecht (PV)";"WOZ-objecten woningen";"aantal";"420298";"427374";"435536";"443865";"454538";"463667";"469063";"473159";"478111";"483132";"492761";"500063";"505253";"511798";"516225"
"Totaal";"Utrecht (PV)";"Recreatiewoningen en overige woningen";"aantal";"16628";"18535";"19450";"19929";"19478";"19394";"19415";"19626";"20322";"21297";"19875";"20257";"20473";"20278";"21579"
"Totaal";"Utrecht (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"7292";"7657";"7171";"7410";"6103";"6081";"5894";"5934";"5513";"5433";"4618";"4016";"3427";"3786";"3340"
"Totaal";"Utrecht (PV)";"Niet-woningen; niet bewoond";"aantal";"44371";"40472";"42709";"47706";"47890";"48249";"46380";"47102";"45670";"45951";"46752";"47135";"48053";"49316";"49695"
"Totaal";"Noord-Holland (PV)";"Totaal WOZ-objecten";"aantal";"1259019";"1280090";"1298567";"1314288";"1328078";"1344164";"1352436";"1360085";"1376784";"1385712";"1396075";"1409865";"1418423";"1424506";"1438924"
"Totaal";"Noord-Holland (PV)";"WOZ-objecten woningen";"aantal";"1072472";"1090584";"1105468";"1116228";"1135194";"1145394";"1155267";"1161857";"1175582";"1183907";"1194341";"1205886";"1216360";"1222736";"1231246"
"Totaal";"Noord-Holland (PV)";"Recreatiewoningen en overige woningen";"aantal";"45319";"53395";"63296";"65307";"67213";"68689";"69232";"69716";"74320";"74885";"74772";"75276";"75833";"75889";"76440"
"Totaal";"Noord-Holland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"14495";"15475";"15693";"15374";"12741";"12550";"12140";"11698";"10351";"10266";"8538";"7811";"7227";"7161";"6778"
"Totaal";"Noord-Holland (PV)";"Niet-woningen; niet bewoond";"aantal";"126733";"120636";"114110";"117379";"112930";"117531";"115797";"116814";"116531";"116654";"118424";"120892";"119003";"118720";"124460"
"Totaal";"Zuid-Holland (PV)";"Totaal WOZ-objecten";"aantal";"1618251";"1652411";"1672860";"1692045";"1707725";"1713045";"1725956";"1736349";"1738415";"1751760";"1763812";"1777274";"1791925";"1797206";"1810543"
"Totaal";"Zuid-Holland (PV)";"WOZ-objecten woningen";"aantal";"1403239";"1423052";"1443312";"1459049";"1474340";"1481126";"1493558";"1504655";"1513875";"1526829";"1539853";"1551905";"1567133";"1567877";"1582642"
"Totaal";"Zuid-Holland (PV)";"Recreatiewoningen en overige woningen";"aantal";"65486";"73890";"74681";"76200";"74786";"75343";"75151";"75914";"74346";"74860";"76970";"77511";"76125";"78666";"77540"
"Totaal";"Zuid-Holland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"13377";"14237";"14158";"12839";"12313";"12013";"11961";"11925";"10560";"10070";"8215";"7970";"6987";"7809";"7112"
"Totaal";"Zuid-Holland (PV)";"Niet-woningen; niet bewoond";"aantal";"136149";"141232";"140709";"143957";"146286";"144563";"145286";"143855";"139634";"140001";"138774";"139888";"141680";"142854";"143249"
"Totaal";"Zeeland (PV)";"Totaal WOZ-objecten";"aantal";"198321";"200502";"204828";"208030";"209300";"210504";"211827";"214058";"214187";"215961";"217223";"218651";"220538";"220494";"222422"
"Totaal";"Zeeland (PV)";"WOZ-objecten woningen";"aantal";"153189";"154229";"156668";"158728";"158832";"159688";"162338";"163821";"166970";"168498";"170744";"172393";"174102";"174367";"175821"
"Totaal";"Zeeland (PV)";"Recreatiewoningen en overige woningen";"aantal";"17483";"18882";"19494";"22425";"24121";"24941";"25070";"25368";"22997";"23342";"23237";"23614";"23199";"23066";"22813"
"Totaal";"Zeeland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"7411";"7297";"7066";"7066";"6504";"6559";"6211";"6097";"5501";"5163";"4012";"2940";"2881";"2761";"2730"
"Totaal";"Zeeland (PV)";"Niet-woningen; niet bewoond";"aantal";"20238";"20094";"21600";"19811";"19843";"19316";"18208";"18772";"18719";"18958";"19230";"19704";"20356";"20300";"21058"
"Totaal";"Noord-Brabant (PV)";"Totaal WOZ-objecten";"aantal";"1031929";"1055902";"1078268";"1095103";"1113895";"1126365";"1130929";"1140206";"1152267";"1163351";"1175562";"1188367";"1202803";"1210550";"1224002"
"Totaal";"Noord-Brabant (PV)";"WOZ-objecten woningen";"aantal";"872980";"890833";"906794";"929812";"938523";"937329";"944656";"950251";"961167";"973806";"987932";"998678";"1011227";"1017599";"1027937"
"Totaal";"Noord-Brabant (PV)";"Recreatiewoningen en overige woningen";"aantal";"43432";"50150";"53856";"46097";"57833";"66914";"67215";"67603";"69207";"68527";"68264";"69008";"68593";"69304";"69466"
"Totaal";"Noord-Brabant (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"32171";"32378";"31829";"31406";"28457";"28263";"27476";"27061";"24141";"23463";"20390";"18255";"18045";"17922";"17783"
"Totaal";"Noord-Brabant (PV)";"Niet-woningen; niet bewoond";"aantal";"83346";"82541";"85789";"87788";"89082";"93859";"91582";"95291";"97752";"97555";"98976";"102426";"104938";"105725";"108816"
"Totaal";"Limburg (PV)";"Totaal WOZ-objecten";"aantal";"515301";"525761";"531572";"537870";"543771";"548889";"553023";"556462";"562127";"566261";"571834";"571942";"577986";"579273";"584863"
"Totaal";"Limburg (PV)";"WOZ-objecten woningen";"aantal";"445947";"453165";"458715";"462280";"468156";"471575";"474322";"476764";"481600";"485886";"490494";"493168";"496568";"498616";"501350"
"Totaal";"Limburg (PV)";"Recreatiewoningen en overige woningen";"aantal";"15228";"14328";"18257";"19267";"20504";"20637";"20481";"20522";"20870";"20975";"22059";"21991";"22126";"21236";"22689"
"Totaal";"Limburg (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"16141";"15400";"14815";"14597";"12521";"12276";"11885";"11340";"10136";"9768";"9043";"6561";"7735";"6938";"7297"
"Totaal";"Limburg (PV)";"Niet-woningen; niet bewoond";"aantal";"37985";"42868";"39785";"41726";"42590";"44401";"46335";"47836";"49521";"49632";"50238";"50222";"51557";"52483";"53527"
"Totaal";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"76379";"76638";"77806";"78609";"79227";"80417";"81138";"82799";"84030";"84717";"85579";"86305"
"Totaal";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"65513";"66058";"66912";"67327";"67762";"69214";"69890";"70857";"71662";"72176";"72385";"72689"
"Totaal";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"3464";"3219";"3172";"3292";"3309";"3327";"3354";"3355";"3513";"3521";"3576";"3596"
"Totaal";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"1936";"1653";"1611";"1552";"1574";"1133";"923";"1208";"1178";"1161";"1166";"1164"
"Totaal";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"5466";"5708";"6111";"6438";"6582";"6743";"6971";"7379";"7677";"7859";"8452";"8856"
"Totaal";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"91187";"91772";"93200";"93324";"93619";"94430";"94088";"95216";"95386";"96160";"96487";"96502"
"Totaal";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"78608";"79099";"79552";"79930";"80207";"80728";"81339";"82188";"82452";"83062";"83364";"83742"
"Totaal";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4956";"5067";"5055";"4710";"4517";"4572";"4568";"4499";"4436";"4482";"4457";"4186"
"Totaal";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"1991";"1817";"1812";"1792";"1531";"1408";"1234";"1098";"1048";"1027";"1072";"1061"
"Totaal";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"5632";"5789";"6781";"6892";"7364";"7722";"6947";"7431";"7450";"7589";"7594";"7513"
"Totaal";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"47605";"47478";"48178";"48639";"49108";"50414";"51090";"52130";"52822";"53277";"53736";"54086"
"Totaal";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"40974";"41003";"41595";"41793";"42154";"43330";"43815";"44636";"45154";"45565";"45633";"45830"
"Totaal";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2587";"2327";"2326";"2435";"2457";"2458";"2477";"2381";"2461";"2428";"2438";"2453"
"Totaal";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"577";"542";"492";"434";"456";"365";"344";"310";"295";"287";"292";"282"
"Totaal";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"3467";"3606";"3765";"3977";"4041";"4261";"4454";"4803";"4912";"4997";"5373";"5521"
"Totaal";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"63298";"63736";"64125";"64076";"64597";"64852";"65049";"65558";"65616";"65898";"66100";"65875"
"Totaal";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"54069";"54391";"54731";"55010";"55131";"55407";"55606";"56150";"56302";"56600";"56801";"57039"
"Totaal";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4492";"4565";"4553";"4206";"4023";"4078";"4066";"4021";"3977";"4027";"3979";"3720"
"Totaal";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"967";"930";"923";"908";"641";"608";"595";"567";"526";"516";"508";"498"
"Totaal";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"3770";"3850";"3918";"3952";"4802";"4759";"4782";"4820";"4811";"4755";"4812";"4618"
"Minder dan 50 000 euro";"Nederland";"Totaal WOZ-objecten";"aantal";"2244884";"2269664";"2277343";"2286139";"855070";"871753";"876096";"878140";"564380";"569268";"557037";"548097";"547341";"530803";"543517"
"Minder dan 50 000 euro";"Nederland";"WOZ-objecten woningen";"aantal";"1702148";"1713598";"1715544";"1727683";"359595";"346889";"345157";"340359";"61671";"63485";"56977";"47969";"45638";"39026";"39230"
"Minder dan 50 000 euro";"Nederland";"Recreatiewoningen en overige woningen";"aantal";"244015";"279883";"299922";"296692";"295599";"310639";"310861";"313709";"305733";"310037";"307939";"307815";"308194";"306739";"310283"
"Minder dan 50 000 euro";"Nederland";"Niet-woningen; gedeeltelijk bewoond";"aantal";"16862";"13565";"13077";"12698";"5309";"5661";"5556";"5321";"3710";"3655";"2788";"2523";"2401";"1970";"1981"
"Minder dan 50 000 euro";"Nederland";"Niet-woningen; niet bewoond";"aantal";"281859";"262618";"248800";"249066";"194567";"208564";"214522";"218751";"193266";"192091";"189333";"189790";"191108";"183068";"192023"
"Minder dan 50 000 euro";"Groningen (PV)";"Totaal WOZ-objecten";"aantal";"146373";"146373";"146345";"144953";"63552";"63693";"61775";"60954";"24561";"23713";"21964";"21323";"21969";"20541";"20611"
"Minder dan 50 000 euro";"Groningen (PV)";"WOZ-objecten woningen";"aantal";"121692";"121590";"121449";"119985";"42124";"41169";"39579";"38718";"3057";"2837";"1767";"1658";"1957";"1313";"1012"
"Minder dan 50 000 euro";"Groningen (PV)";"Recreatiewoningen en overige woningen";"aantal";"10352";"11675";"11770";"11819";"12598";"13514";"13520";"13531";"13374";"13029";"12569";"11840";"11706";"11309";"11513"
"Minder dan 50 000 euro";"Groningen (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"1233";"1239";"1264";"1267";"387";"384";"407";"392";"271";"277";"237";"208";"221";"175";"153"
"Minder dan 50 000 euro";"Groningen (PV)";"Niet-woningen; niet bewoond";"aantal";"13096";"11869";"11862";"11882";"8443";"8626";"8269";"8313";"7859";"7570";"7391";"7617";"8085";"7744";"7933"
"Minder dan 50 000 euro";"Friesland (PV)";"Totaal WOZ-objecten";"aantal";"147085";"147306";"148511";"148673";"56839";"57362";"57395";"57950";"26905";"27996";"26796";"26590";"26355";"26972";"26458"
"Minder dan 50 000 euro";"Friesland (PV)";"WOZ-objecten woningen";"aantal";"122538";"122252";"122409";"121969";"32839";"32978";"32175";"32150";"3482";"3521";"2636";"1726";"1449";"1518";"1484"
"Minder dan 50 000 euro";"Friesland (PV)";"Recreatiewoningen en overige woningen";"aantal";"8802";"8772";"9818";"9908";"9411";"10522";"10613";"10822";"9741";"9847";"9781";"10142";"10073";"10299";"9728"
"Minder dan 50 000 euro";"Friesland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"1705";"1523";"1645";"1557";"359";"341";"320";"317";"222";"217";"139";"121";"107";"116";"85"
"Minder dan 50 000 euro";"Friesland (PV)";"Niet-woningen; niet bewoond";"aantal";"14040";"14759";"14639";"15239";"14230";"13521";"14287";"14661";"13460";"14411";"14240";"14601";"14726";"15039";"15161"
"Minder dan 50 000 euro";"Drenthe (PV)";"Totaal WOZ-objecten";"aantal";"73143";"74033";"74234";"74340";"28372";"29084";"29288";"29581";"19848";"20216";"19878";"20746";"20663";"20414";"20901"
"Minder dan 50 000 euro";"Drenthe (PV)";"WOZ-objecten woningen";"aantal";"53517";"53739";"53829";"53954";"10236";"10050";"10008";"10126";"1919";"1913";"1046";"1152";"846";"673";"682"
"Minder dan 50 000 euro";"Drenthe (PV)";"Recreatiewoningen en overige woningen";"aantal";"7751";"11037";"11034";"11118";"10103";"9959";"9967";"10010";"9547";"9622";"9281";"9054";"9023";"9199";"9246"
"Minder dan 50 000 euro";"Drenthe (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"844";"891";"875";"871";"373";"371";"331";"321";"380";"383";"344";"331";"326";"312";"288"
