id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
106,1996-09-02 05:20:00,Roden,53.147,6.422,3.0,2.1,,,,,Roden,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1997-01-24 04:00:00,Zuidlaren,53.079,6.678,3.0,0.6,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
129,1997-04-01 00:34:00,Emmen,52.768,6.873,3.0,1.4,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
148,1997-09-13 21:30:00,Loppersum,53.338,6.747,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
154,1997-11-20 17:35:00,Slochteren,53.206,6.792,3.0,1.2,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
158,1997-12-07 07:02:00,Zuidlaren,53.075,6.702,3.0,0.3,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,1998-01-22 10:31:00,Assen,52.984,6.547,3.5,1.1,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
167,1998-03-29 06:06:00,Loppersum,53.345,6.73,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
168,1998-04-19 08:00:00,Loppersum,53.339,6.723,3.0,1.5,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
170,1998-04-28 02:02:00,Veendam,53.107,6.865,3.0,0.4,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
