occurred_at,magnitude,depth,latitude,longitude
1,0.7,3.0,53.297,6.535
1,2.7,2.9,52.682,4.648
1,2.8,3.0,52.892,6.113
1,1.3,3.0,53.34,6.403
1,1.3,3.0,53.335,6.279
1,1.1,3.0,53.097,6.402
1,0.5,3.0,53.035,6.638
1,1.5,3.0,53.084,6.465
1,1.8,3.0,53.457,5.85
1,2.7,1.2,52.529,4.971
1,1.2,3.0,53.348,6.565
1,0.9,3.0,53.19,6.358
1,1.4,3.0,52.676,6.832
