"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"100 000 tot 150 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"453554";"465712";"482949";"496198";"1081242";"1092091";"1100924";"1108665";"861683";"861788";"786097";"669366";"611819";"595729";"630266"
"100 000 tot 150 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"4762";"4812";"5395";"5712";"9725";"9806";"10066";"10262";"11862";"11871";"11940";"11751";"11068";"10947";"10344"
"100 000 tot 150 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"11264";"11598";"11360";"11083";"6576";"6456";"6215";"5950";"2546";"2417";"1378";"1011";"818";"624";"625"
"100 000 tot 150 000 euro";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"30016";"30593";"31190";"31709";"35707";"37088";"37183";"37751";"37528";"37624";"37683";"37640";"37519";"36388";"38132"
"100 000 tot 150 000 euro";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"262434";"268874";"275814";"282365";"578247";"579971";"581870";"583103";"361337";"364474";"292566";"246459";"232660";"231670";"253296"
"100 000 tot 150 000 euro";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"235600";"241433";"248544";"254973";"554517";"555813";"557531";"558629";"337235";"340578";"270275";"225156";"211807";"211407";"231775"
"100 000 tot 150 000 euro";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"472";"432";"457";"458";"3798";"4004";"4124";"4178";"6860";"7063";"6271";"5580";"4984";"5028";"5351"
"100 000 tot 150 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"13409";"13225";"12631";"12331";"5254";"5124";"4847";"4606";"1816";"1754";"1107";"786";"709";"610";"623"
"100 000 tot 150 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"12953";"13784";"14182";"14603";"14678";"15030";"15368";"15690";"15426";"15079";"14913";"14937";"15160";"14625";"15547"
"100 000 tot 150 000 euro";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"5660";"13168";"13387";"13600";"13722";"21667";"21812";"26064";"26667";"26455";"25966";"26925"
"100 000 tot 150 000 euro";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"4630";"12139";"12352";"12516";"12631";"20567";"20713";"24987";"25668";"25521";"25094";"26048"
"100 000 tot 150 000 euro";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"6";"50";"51";"81";"81";"261";"267";"250";"231";"128";"106";"95"
"100 000 tot 150 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"448";"347";"334";"318";"323";"185";"169";"88";"69";"55";"50";"45"
"100 000 tot 150 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"576";"632";"650";"685";"687";"654";"663";"739";"699";"751";"716";"737"
"100 000 tot 150 000 euro";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"18640";"30128";"30179";"30266";"30285";"24181";"24435";"22500";"20388";"19602";"20229";"20879"
"100 000 tot 150 000 euro";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"17307";"29096";"29139";"29221";"29233";"23236";"23472";"21600";"19502";"18712";"19348";"19961"
"100 000 tot 150 000 euro";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"7";"13";"13";"15";"12";"19";"20";"29";"22";"26";"24";"29"
"100 000 tot 150 000 euro";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"571";"211";"206";"200";"178";"111";"94";"44";"41";"32";"36";"36"
"100 000 tot 150 000 euro";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"755";"808";"821";"830";"862";"815";"849";"827";"823";"832";"821";"853"
"100 000 tot 150 000 euro";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"1989";"5608";"5756";"5849";"5913";"12868";"13011";"17043";"18777";"19108";"18706";"19471"
"100 000 tot 150 000 euro";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"1486";"5079";"5220";"5288";"5353";"12360";"12499";"16484";"18279";"18567";"18210";"18958"
"100 000 tot 150 000 euro";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2";"13";"12";"42";"42";"11";"11";"13";"12";"12";"12";"9"
"100 000 tot 150 000 euro";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"113";"121";"113";"94";"100";"63";"64";"34";"21";"14";"14";"14"
"100 000 tot 150 000 euro";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"388";"395";"411";"425";"418";"434";"437";"512";"465";"515";"470";"490"
"100 000 tot 150 000 euro";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"9402";"21890";"21933";"22061";"22067";"20218";"20393";"18908";"17239";"16546";"17063";"17506"
"100 000 tot 150 000 euro";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"8631";"21209";"21253";"21382";"21386";"19609";"19785";"18350";"16693";"15991";"16501";"16941"
"100 000 tot 150 000 euro";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"5";"3";"3";"5";"3";"5";"5";"2";"-";"4";"3";"5"
"100 000 tot 150 000 euro";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"241";"101";"98";"93";"70";"49";"46";"21";"20";"18";"18";"18"
"100 000 tot 150 000 euro";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"525";"577";"579";"581";"608";"555";"557";"535";"526";"533";"541";"542"
"150 000 tot 200 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"19994";"20971";"21991";"23347";"75787";"78154";"80712";"82696";"141620";"143529";"156186";"173666";"180620";"181325";"179149"
"150 000 tot 200 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"12319";"13127";"13968";"15084";"63811";"66119";"68519";"70465";"128919";"130861";"143788";"160871";"167445";"168678";"166491"
"150 000 tot 200 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"342";"355";"370";"388";"1856";"1876";"1975";"2047";"2567";"2711";"3203";"4149";"4751";"4538";"4702"
"150 000 tot 200 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"3706";"3838";"3963";"4029";"5276";"5219";"5096";"4981";"4718";"4415";"3199";"2549";"2171";"1900";"1748"
"150 000 tot 200 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"3627";"3651";"3690";"3846";"4844";"4940";"5122";"5203";"5416";"5542";"5996";"6097";"6253";"6209";"6208"
"150 000 tot 200 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"74837";"77554";"80297";"82589";"204554";"209037";"212729";"216219";"408240";"410971";"425643";"413528";"404467";"400862";"412112"
"150 000 tot 200 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"57243";"59660";"62067";"64412";"185600";"190045";"193744";"197237";"390353";"392937";"407968";"396078";"387255";"384510";"395680"
"150 000 tot 200 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"488";"229";"270";"266";"975";"1078";"1145";"1187";"2749";"2918";"3298";"3520";"3635";"3421";"3341"
"150 000 tot 200 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"9480";"9643";"9678";"9443";"8533";"8226";"7942";"7768";"4483";"4286";"3310";"2585";"2238";"1656";"1486"
"150 000 tot 200 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"7626";"8022";"8282";"8468";"9446";"9688";"9898";"10027";"10655";"10830";"11067";"11345";"11339";"11275";"11605"
"150 000 tot 200 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"159031";"163824";"169540";"174526";"505306";"516032";"526849";"537153";"921431";"929495";"898128";"854865";"822309";"808119";"850166"
"150 000 tot 200 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"131586";"135661";"140952";"145440";"469984";"479783";"490574";"500399";"883217";"891246";"859272";"815465";"782742";"769896";"811798"
"150 000 tot 200 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"1009";"1069";"1293";"1506";"3794";"4024";"4044";"4417";"7047";"7004";"7765";"8182";"7915";"8025";"7346"
"150 000 tot 200 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"7296";"7494";"7309";"7259";"7231";"7176";"6912";"6695";"3911";"3759";"2604";"1861";"1439";"1224";"1163"
"150 000 tot 200 000 euro";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"19140";"19600";"19986";"20321";"24297";"25049";"25319";"25642";"27256";"27486";"28487";"29357";"30213";"28974";"29859"
"150 000 tot 200 000 euro";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"92504";"95309";"98098";"100946";"246984";"251052";"254628";"258210";"447950";"450792";"456042";"422623";"399034";"395892";"417481"
"150 000 tot 200 000 euro";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"74373";"76726";"79500";"82188";"227780";"231700";"235323";"239065";"429397";"432386";"438074";"404299";"380493";"377698";"399197"
"150 000 tot 200 000 euro";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"246";"163";"160";"156";"627";"714";"766";"795";"3183";"3235";"3927";"4534";"4553";"4653";"4526"
"150 000 tot 200 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"9339";"9242";"9018";"8877";"7856";"7736";"7433";"7181";"3820";"3619";"2392";"1695";"1580";"1327";"1316"
"150 000 tot 200 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"8546";"9178";"9420";"9725";"10721";"10902";"11106";"11169";"11550";"11552";"11649";"12095";"12408";"12214";"12442"
"150 000 tot 200 000 euro";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"1305";"5018";"5329";"5530";"5742";"10747";"10974";"13036";"14737";"15228";"16009";"15810"
"150 000 tot 200 000 euro";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"686";"4295";"4608";"4803";"5018";"9966";"10211";"12130";"13855";"14276";"15038";"14843"
"150 000 tot 200 000 euro";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"-";"9";"9";"8";"8";"79";"79";"117";"145";"229";"259";"259"
"150 000 tot 200 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"284";"293";"280";"270";"269";"211";"171";"158";"117";"110";"108";"85"
"150 000 tot 200 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"335";"421";"432";"449";"447";"491";"513";"631";"620";"613";"604";"623"
"150 000 tot 200 000 euro";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"5414";"16435";"16661";"16893";"16992";"21940";"22082";"21666";"21241";"21085";"21069";"21517"
"150 000 tot 200 000 euro";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"4568";"15463";"15667";"15896";"15995";"21074";"21209";"20892";"20491";"20340";"20354";"20826"
"150 000 tot 200 000 euro";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2";"12";"11";"15";"13";"1";"1";"4";"6";"9";"9";"9"
"150 000 tot 200 000 euro";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"355";"391";"397";"389";"374";"236";"213";"139";"116";"104";"89";"92"
"150 000 tot 200 000 euro";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"489";"569";"586";"593";"610";"629";"659";"631";"628";"632";"617";"590"
"150 000 tot 200 000 euro";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"599";"1693";"1912";"2072";"2216";"4436";"4621";"6105";"7360";"7638";"8206";"7970"
"150 000 tot 200 000 euro";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"315";"1320";"1540";"1694";"1839";"4075";"4257";"5631";"6917";"7224";"7795";"7552"
"150 000 tot 200 000 euro";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"-";"5";"5";"5";"5";"-";"-";"-";"2";"1";"1";"1"
"150 000 tot 200 000 euro";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"59";"88";"77";"72";"74";"65";"58";"49";"33";"28";"28";"25"
"150 000 tot 200 000 euro";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"225";"280";"290";"301";"298";"296";"306";"425";"408";"385";"382";"392"
"150 000 tot 200 000 euro";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"2370";"8627";"8809";"8977";"9054";"14702";"14751";"15637";"16074";"16185";"15961";"15983"
"150 000 tot 200 000 euro";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"1867";"8050";"8224";"8389";"8473";"14178";"14234";"15142";"15589";"15699";"15514";"15551"
"150 000 tot 200 000 euro";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"1";"2";"2";"7";"5";"-";"-";"-";"-";"2";"1";"2"
"150 000 tot 200 000 euro";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"152";"176";"177";"171";"157";"89";"88";"63";"57";"52";"43";"49"
"150 000 tot 200 000 euro";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"350";"399";"406";"410";"419";"435";"429";"432";"428";"432";"403";"381"
"200 000 tot 250 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"6445";"6784";"7078";"7453";"33029";"34359";"35570";"36691";"81528";"82687";"95356";"106604";"111584";"111973";"111795"
"200 000 tot 250 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"2302";"2486";"2629";"2872";"25221";"26389";"27427";"28419";"71666";"73060";"85657";"97097";"102150";"102605";"102319"
"200 000 tot 250 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"57";"62";"74";"82";"603";"658";"754";"814";"1650";"1729";"2070";"2180";"2187";"2250";"2379"
"200 000 tot 250 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"1662";"1738";"1836";"1894";"3932";"3938";"3879";"3872";"4139";"3810";"3412";"2904";"2664";"2487";"2403"
"200 000 tot 250 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"2424";"2498";"2539";"2605";"3273";"3374";"3510";"3586";"4073";"4088";"4217";"4423";"4583";"4631";"4694"
"200 000 tot 250 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"25946";"26695";"27630";"28570";"108809";"111582";"113560";"115571";"205216";"208386";"242932";"276470";"291787";"293606";"285343"
"200 000 tot 250 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"15727";"16193";"16860";"17694";"93357";"96056";"98089";"100114";"190529";"193664";"228765";"262438";"277751";"280449";"272371"
"200 000 tot 250 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"130";"69";"75";"67";"369";"383";"378";"413";"1083";"1196";"1565";"1929";"1992";"1576";"1544"
"200 000 tot 250 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"4986";"5079";"5185";"5176";"7976";"7832";"7583";"7427";"5512";"5294";"4238";"3485";"3204";"2713";"2551"
"200 000 tot 250 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"5103";"5354";"5510";"5633";"7107";"7311";"7510";"7617";"8092";"8232";"8364";"8618";"8840";"8868";"8877"
"200 000 tot 250 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"67424";"69029";"70956";"73094";"202980";"208188";"212867";"217782";"555848";"565800";"666108";"723918";"740909";"734814";"739316"
"200 000 tot 250 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"49782";"51127";"52840";"54798";"178629";"183473";"187930";"192691";"527597";"537518";"638013";"695169";"712103";"706775";"710992"
"200 000 tot 250 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"340";"299";"324";"373";"1305";"1342";"1477";"1567";"3657";"3706";"4008";"4684";"4703";"4973";"5020"
"200 000 tot 250 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"4040";"4210";"4142";"4083";"5631";"5565";"5421";"5355";"4537";"4399";"3241";"2532";"2150";"1978";"1828"
"200 000 tot 250 000 euro";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"13262";"13393";"13650";"13840";"17415";"17808";"18039";"18169";"20057";"20177";"20846";"21533";"21953";"21088";"21476"
"200 000 tot 250 000 euro";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"33347";"34312";"35246";"36528";"126286";"128815";"131040";"133240";"221567";"224471";"264206";"302907";"319843";"320729";"310487"
"200 000 tot 250 000 euro";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"22000";"22651";"23534";"24665";"110955";"113470";"115851";"118077";"207223";"210324";"250393";"289456";"306172";"307707";"297289"
"200 000 tot 250 000 euro";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"61";"55";"48";"50";"193";"220";"223";"237";"837";"857";"1371";"1637";"1784";"1724";"1696"
"200 000 tot 250 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"5455";"5403";"5342";"5272";"7256";"7138";"6865";"6705";"4754";"4539";"3348";"2553";"2440";"2011";"1992"
"200 000 tot 250 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"5831";"6203";"6322";"6541";"7882";"7987";"8101";"8221";"8753";"8751";"9094";"9261";"9447";"9287";"9510"
"200 000 tot 250 000 euro";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"414";"2070";"2178";"2318";"2384";"5759";"5905";"7170";"8036";"8286";"8554";"8716"
"200 000 tot 250 000 euro";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"90";"1555";"1665";"1784";"1857";"5200";"5388";"6543";"7387";"7652";"7908";"8084"
"200 000 tot 250 000 euro";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2";"1";"1";"1";"1";"3";"3";"7";"29";"32";"28";"38"
"200 000 tot 250 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"109";"241";"235";"231";"225";"186";"149";"208";"203";"164";"153";"154"
"200 000 tot 250 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"213";"273";"277";"302";"301";"370";"365";"412";"417";"438";"465";"440"
"200 000 tot 250 000 euro";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"1747";"6757";"6846";"6977";"7068";"13387";"13470";"13998";"14482";"14563";"14502";"14642"
"200 000 tot 250 000 euro";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"1212";"6046";"6121";"6251";"6343";"12635";"12739";"13294";"13779";"13875";"13826";"13938"
"200 000 tot 250 000 euro";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"1";"-";"-";"1";"1";"7";"7";"5";"5";"4";"4";"5"
"200 000 tot 250 000 euro";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"195";"310";"308";"307";"295";"284";"248";"202";"169";"149";"160";"169"
"200 000 tot 250 000 euro";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"339";"401";"417";"418";"429";"461";"476";"497";"529";"535";"512";"530"
"200 000 tot 250 000 euro";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"253";"970";"1054";"1123";"1166";"2255";"2407";"3073";"3468";"3625";"3970";"4193"
"200 000 tot 250 000 euro";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"68";"729";"814";"879";"927";"1950";"2109";"2758";"3132";"3278";"3594";"3849"
"200 000 tot 250 000 euro";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-"
"200 000 tot 250 000 euro";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"17";"66";"59";"53";"50";"52";"51";"41";"51";"50";"52";"49"
"200 000 tot 250 000 euro";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"166";"175";"181";"191";"189";"253";"247";"273";"285";"297";"324";"295"
"200 000 tot 250 000 euro";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"881";"3053";"3114";"3230";"3297";"7166";"7197";"7344";"7828";"8231";"8173";"8134"
"200 000 tot 250 000 euro";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"540";"2667";"2720";"2836";"2902";"6727";"6758";"6910";"7397";"7801";"7741";"7686"
"200 000 tot 250 000 euro";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"1";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-"
"200 000 tot 250 000 euro";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"91";"118";"118";"118";"111";"122";"120";"106";"82";"73";"80";"83"
"200 000 tot 250 000 euro";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"249";"268";"276";"275";"283";"316";"318";"328";"349";"357";"352";"365"
"250 000 tot 300 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"2872";"3004";"3131";"3297";"14234";"14808";"15418";"15937";"49017";"49754";"58879";"66762";"70405";"70753";"69504"
"250 000 tot 300 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"528";"569";"608";"671";"8967";"9396";"9923";"10379";"41518";"42407";"51165";"58871";"62546";"63011";"61771"
"250 000 tot 300 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"5";"6";"6";"8";"192";"211";"220";"229";"1122";"1159";"1257";"1591";"1621";"1707";"1656"
"250 000 tot 300 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"641";"700";"768";"824";"2503";"2564";"2536";"2537";"3343";"3102";"3221";"2895";"2678";"2468";"2422"
"250 000 tot 300 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"1698";"1729";"1749";"1794";"2572";"2637";"2739";"2792";"3034";"3086";"3236";"3405";"3560";"3567";"3655"
"250 000 tot 300 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"10540";"10829";"11198";"11676";"58980";"60345";"61739";"63022";"123163";"125169";"140035";"154085";"162228";"163933";"159283"
"250 000 tot 300 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"4667";"4738";"4907";"5209";"47823";"49124";"50386";"51649";"111024";"112982";"128321";"142659";"150876";"152845";"148376"
"250 000 tot 300 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"55";"17";"23";"20";"147";"169";"180";"196";"428";"536";"511";"631";"783";"782";"621"
"250 000 tot 300 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"2299";"2369";"2456";"2519";"5762";"5685";"5593";"5530";"5426";"5264";"4559";"3978";"3646";"3430";"3232"
"250 000 tot 300 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"3519";"3705";"3812";"3928";"5248";"5367";"5580";"5647";"6285";"6387";"6644";"6817";"6923";"6876";"7054"
"250 000 tot 300 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"32504";"33225";"33928";"34613";"110468";"113737";"116639";"119291";"264518";"269415";"318135";"389214";"438264";"441860";"421114"
"250 000 tot 300 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"20564";"20945";"21529";"22123";"93174";"95982";"98748";"101291";"243366";"248335";"296075";"367265";"415956";"420257";"399800"
"250 000 tot 300 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"214";"197";"140";"160";"473";"490";"491";"543";"1980";"1984";"2769";"2687";"3078";"3280";"3040"
"250 000 tot 300 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"2278";"2388";"2398";"2342";"3985";"3996";"3936";"3833";"4193";"4038";"3305";"2787";"2415";"2304";"2146"
"250 000 tot 300 000 euro";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"9448";"9695";"9861";"9988";"12836";"13269";"13464";"13624";"14979";"15058";"15986";"16475";"16815";"16019";"16128"
"250 000 tot 300 000 euro";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"13932";"14209";"14448";"14887";"68584";"69956";"71438";"72721";"139712";"141551";"156536";"170101";"179972";"181069";"176717"
"250 000 tot 300 000 euro";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"6629";"6738";"6900";"7170";"56773";"58144";"59678";"61063";"127928";"129920";"145542";"159547";"169101";"170657";"166449"
"250 000 tot 300 000 euro";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"26";"19";"21";"22";"74";"70";"72";"79";"274";"276";"483";"636";"772";"833";"664"
"250 000 tot 300 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"3397";"3344";"3323";"3346";"5796";"5709";"5511";"5352";"4770";"4568";"3495";"2664";"2697";"2320";"2298"
"250 000 tot 300 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"3880";"4108";"4204";"4349";"5941";"6033";"6177";"6227";"6740";"6787";"7016";"7254";"7402";"7259";"7306"
"250 000 tot 300 000 euro";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"248";"773";"825";"869";"928";"3480";"3589";"4552";"5224";"5395";"5517";"5357"
"250 000 tot 300 000 euro";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"24";"404";"442";"473";"511";"3070";"3197";"4046";"4691";"4842";"4965";"4798"
"250 000 tot 300 000 euro";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"-";"2";"2";"2";"2";"3";"3";"6";"4";"22";"21";"27"
"250 000 tot 300 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"63";"158";"164";"165";"169";"139";"109";"189";"175";"167";"173";"158"
"250 000 tot 300 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"161";"209";"217";"229";"246";"268";"280";"311";"354";"364";"358";"374"
