id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
33,1994-03-02 10:36:00,Overschild,53.279,6.807,3.0,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1994-03-06 20:02:00,Appingedam,53.323,6.805,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
35,1994-03-14 09:31:00,Leermens,53.345,6.808,3.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1994-03-14 10:44:00,Zandeweer,53.39,6.68,3.0,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1994-03-14 22:32:00,Kolham,53.17,6.747,3.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1994-03-24 05:29:00,Farmsum,53.316,6.962,3.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1994-04-04 18:46:00,Overschild,53.275,6.828,3.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1994-05-07 20:08:00,Froombosch,53.194,6.798,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1994-05-10 01:34:00,Schildwolde,53.226,6.835,3.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1994-06-05 02:14:00,Meedhuizen,53.294,6.95,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1994-06-06 04:08:00,Zuidbroek,53.156,6.823,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1994-06-08 22:20:00,Huizinge,53.359,6.682,3.0,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1994-06-26 17:44:00,Appingedam,53.335,6.852,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
46,1994-06-27 20:58:00,Roodeschool,53.423,6.77,3.0,1.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1994-07-01 06:27:00,Onderdendam,53.324,6.613,3.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1994-07-19 08:17:00,Garsthuizen,53.372,6.743,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1994-07-30 09:18:00,Toornwerd,53.351,6.628,1.0,2.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1994-07-30 09:53:00,Warffum,53.365,6.577,1.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1994-08-06 18:02:00,Bergen,52.654,4.711,2.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1994-08-16 14:37:00,Anloo,53.061,6.698,3.0,2.3,,,,,Anloo,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1994-09-07 22:06:00,Warffum,53.402,6.575,3.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1994-09-09 15:56:00,Erica,52.714,6.915,3.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1994-09-21 01:12:00,Bergen,52.658,4.708,2.5,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1994-09-23 19:50:00,Schoonebeek,52.67,6.88,3.0,1.3,,,,,Schoonebeek,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1994-10-26 21:41:00,Luddeweer,53.246,6.737,3.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1994-12-13 21:50:00,Overschild,53.282,6.815,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1995-01-24 09:38:00,Delfzijl,53.316,6.897,3.0,1.3,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
60,1995-01-31 19:47:00,Annen,53.063,6.72,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1995-02-01 00:31:00,Nieuw Annerveen,53.079,6.775,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1995-03-21 16:37:00,Eems-Dollard (nabij Eemshaven),53.438,6.913,3.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1995-04-06 08:03:00,Huizinge,53.36,6.68,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1995-04-26 17:35:00,Zuidlaren,53.084,6.668,3.0,0.7,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
65,1995-05-15 09:52:00,Meedhuizen,53.309,6.945,3.0,1.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1995-06-03 22:06:00,Tolbert,53.19,6.358,3.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1995-06-20 08:59:00,Roswinkel,52.832,7.03,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1995-07-15 16:05:00,Slochteren,53.206,6.823,3.0,1.0,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
69,1995-07-21 23:24:00,Farmsum,53.276,6.963,3.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1995-09-13 21:34:00,Loppersum,53.335,6.728,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
71,1995-10-18 00:34:00,Peize,53.129,6.492,3.0,1.3,,,,,Peize,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1995-11-02 01:07:00,Westeremden,53.352,6.718,3.0,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1995-11-04 05:50:00,Uithuizermeeden,53.47,6.722,3.0,1.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1995-11-20 02:20:00,Garrelsweer,53.315,6.762,3.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1995-12-24 13:26:00,Jisp,52.511,4.847,3.0,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1995-12-30 02:04:00,Roswinkel,52.845,7.048,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1996-02-12 14:02:00,Overschild,53.256,6.767,3.0,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1996-02-24 03:31:00,Emmen,52.761,6.908,3.0,1.8,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
79,1996-02-25 13:55:00,Roswinkel,52.838,7.062,1.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1996-02-29 08:07:00,Middelstum,53.343,6.64,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1996-03-06 09:20:00,Roswinkel,52.838,7.062,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1996-03-12 00:51:00,Nieuw Annerveen,53.064,6.79,3.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1996-03-12 12:13:00,Roswinkel,52.838,7.059,2.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1996-03-12 18:34:00,Zeegse,53.072,6.653,3.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1996-03-14 22:23:00,Roswinkel,52.838,7.064,2.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1996-03-16 04:16:00,Appingedam,53.298,6.848,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
87,1996-03-21 18:19:00,Roswinkel,52.833,7.054,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1996-04-01 18:53:00,Amen,52.94,6.608,3.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1996-04-01 23:28:00,Nieuw Annerveen,53.067,6.79,3.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1996-04-09 13:58:00,Eexterveen,53.059,6.798,3.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1996-04-15 03:41:00,Ten Boer,53.289,6.688,3.0,0.9,1.0,,,,Ten Boer,66.0,67.0,67.0,68.0,97.0,98.0,98.0,98.0,158.0,158.0,174.0,185.0,194.0,195.0,192.0,187.0,183.0,174.0,165.0,165.0,169.0,175.0,,,,,,
92,1996-04-17 19:05:00,Holwierde,53.357,6.883,3.0,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1996-04-21 21:36:00,Rottum,53.376,6.595,3.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1996-04-25 23:22:00,Holwierde,53.356,6.863,3.0,0.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1996-06-07 04:20:00,Annerveenschekanaal,53.085,6.78,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1996-06-07 08:34:00,Garrelsweer,53.309,6.778,3.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1996-06-07 14:59:00,Wildervank,53.082,6.832,3.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1996-06-16 02:53:00,Geelbroek,52.947,6.568,3.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1996-07-03 21:40:00,Eexterveen,53.053,6.803,3.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1996-08-04 00:42:00,Wachtum,52.724,6.738,3.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1996-08-06 13:38:00,Emmen,52.755,6.917,3.0,1.6,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
102,1996-08-09 02:31:00,Schipborg,53.057,6.688,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1996-08-09 06:38:00,Farmsum,53.287,6.958,3.0,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1996-08-11 01:10:00,Laar (Duitsland),52.601,6.782,3.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
