id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
70,1995-09-13 21:34:00,Loppersum,53.335,6.728,3.0,1.1,1.0,1995,1
71,1995-10-18 00:34:00,Peize,53.129,6.492,3.0,1.3,,1995,1
72,1995-11-02 01:07:00,Westeremden,53.352,6.718,3.0,1.6,1.0,1995,1
73,1995-11-04 05:50:00,Uithuizermeeden,53.47,6.722,3.0,1.8,1.0,1995,1
74,1995-11-20 02:20:00,Garrelsweer,53.315,6.762,3.0,1.1,1.0,1995,1
75,1995-12-24 13:26:00,Jisp,52.511,4.847,3.0,2.3,,1995,2
76,1995-12-30 02:04:00,Roswinkel,52.845,7.048,3.0,1.2,,1995,1
77,1996-02-12 14:02:00,Overschild,53.256,6.767,3.0,0.9,1.0,1996,0
78,1996-02-24 03:31:00,Emmen,52.761,6.908,3.0,1.8,,1996,1
79,1996-02-25 13:55:00,Roswinkel,52.838,7.062,1.5,0.9,,1996,0
80,1996-02-29 08:07:00,Middelstum,53.343,6.64,3.0,2.0,1.0,1996,2
81,1996-03-06 09:20:00,Roswinkel,52.838,7.062,1.5,1.6,,1996,1
82,1996-03-12 00:51:00,Nieuw Annerveen,53.064,6.79,3.0,1.1,,1996,1
83,1996-03-12 12:13:00,Roswinkel,52.838,7.059,2.0,2.6,,1996,2
84,1996-03-12 18:34:00,Zeegse,53.072,6.653,3.0,0.8,,1996,0
85,1996-03-14 22:23:00,Roswinkel,52.838,7.064,2.0,1.1,,1996,1
86,1996-03-16 04:16:00,Appingedam,53.298,6.848,3.0,1.4,1.0,1996,1
87,1996-03-21 18:19:00,Roswinkel,52.833,7.054,2.0,1.8,,1996,1
88,1996-04-01 18:53:00,Amen,52.94,6.608,3.0,0.6,,1996,0
89,1996-04-01 23:28:00,Nieuw Annerveen,53.067,6.79,3.0,0.1,,1996,0
90,1996-04-09 13:58:00,Eexterveen,53.059,6.798,3.0,1.1,,1996,1
91,1996-04-15 03:41:00,Ten Boer,53.289,6.688,3.0,0.9,1.0,1996,0
92,1996-04-17 19:05:00,Holwierde,53.357,6.883,3.0,0.9,1.0,1996,0
93,1996-04-21 21:36:00,Rottum,53.376,6.595,3.0,0.5,1.0,1996,0
94,1996-04-25 23:22:00,Holwierde,53.356,6.863,3.0,0.9,1.0,1996,0
95,1996-06-07 04:20:00,Annerveenschekanaal,53.085,6.78,3.0,1.2,,1996,1
96,1996-06-07 08:34:00,Garrelsweer,53.309,6.778,3.0,1.3,1.0,1996,1
97,1996-06-07 14:59:00,Wildervank,53.082,6.832,3.0,0.7,,1996,0
98,1996-06-16 02:53:00,Geelbroek,52.947,6.568,3.0,1.7,,1996,1
99,1996-07-03 21:40:00,Eexterveen,53.053,6.803,3.0,0.8,,1996,0
100,1996-08-04 00:42:00,Wachtum,52.724,6.738,3.0,1.6,,1996,1
101,1996-08-06 13:38:00,Emmen,52.755,6.917,3.0,1.6,,1996,1
102,1996-08-09 02:31:00,Schipborg,53.057,6.688,3.0,0.3,,1996,0
103,1996-08-09 06:38:00,Farmsum,53.287,6.958,3.0,1.6,1.0,1996,1
104,1996-08-11 01:10:00,Laar (Duitsland),52.601,6.782,3.0,0.7,,1996,0
105,1996-08-25 22:24:00,Geelbroek,52.945,6.57,3.0,1.7,,1996,1
106,1996-09-02 05:20:00,Roden,53.147,6.422,3.0,2.1,,1996,2
107,1996-10-16 05:09:00,Amen,52.941,6.61,3.0,1.3,,1996,1
108,1996-11-16 03:33:00,Zeerijp,53.355,6.755,3.0,1.3,1.0,1996,1
